feature	coefficient
homeownership	-0.733695174582225
pct_bachelors_or_higher	0.6264457949196588
always	0.5677074717257224
log_poverty_rating	0.4151669227003573
unemployment_rate	0.3987688701609703
physical_inactivity	-0.36695358793410104
pct_nonhispanic_black	0.3541126804251453
pct_voters	0.33719968196630484
pct_nonhispanic_white	-0.3163455627157618
diabetes_prevalence	-0.17173931021108668
pct_asian	0.13779246832781278
pct_covid_deaths	-0.13582908480434233
sometimes	-0.12680975146990736
log_traffic_volume	0.10884172697593404
pct_above_65	-0.0781995750486078
pct_females	0.06815250254417454
frequently	-0.060718463097834734
severe_housing_issues	0.05355929435942196
pct_below_18	-0.033663654186093704
excessive_drinking	0.006995997594653403
pct_college_associates	-0.005613709712270141
